Folio	Quire	SmoothHairy	urn:cite:hmt:msA.BifolioWith	ReplacementPage
urn:cite:hmt:msA.151v	18	smooth	urn:cite:hmt:msA.152r	no
urn:cite:hmt:msA.152r	18	smooth	urn:cite:hmt:msA.151v	no
urn:cite:hmt:msA.152v	18	hairy	urn:cite:hmt:msA.151r	no
urn:cite:hmt:msA.153r	18	hairy	urn:cite:hmt:msA.150v	no
urn:cite:hmt:msA.153v	18	smooth	urn:cite:hmt:msA.150r	no
urn:cite:hmt:msA.154r	18	smooth	urn:cite:hmt:msA.149v	no
urn:cite:hmt:msA.154v	18	hairy	urn:cite:hmt:msA.149r	no
urn:cite:hmt:msA.155r	18	hairy	urn:cite:hmt:msA.148v	no
urn:cite:hmt:msA.155v	18	smooth	urn:cite:hmt:msA.148r	no
urn:cite:hmt:msA.156r	19	smooth	urn:cite:hmt:msA.163v	no
urn:cite:hmt:msA.156v	19	hairy	urn:cite:hmt:msA.163r	no
urn:cite:hmt:msA.157r	19	hairy	urn:cite:hmt:msA.162v	no
urn:cite:hmt:msA.157v	19	smooth	urn:cite:hmt:msA.162r	no
urn:cite:hmt:msA.158r	19	smooth	urn:cite:hmt:msA.161v	no
urn:cite:hmt:msA.158v	19	hairy	urn:cite:hmt:msA.161r	no
urn:cite:hmt:msA.159r	19	hairy	urn:cite:hmt:msA.160v	no
urn:cite:hmt:msA.159v	19	smooth	urn:cite:hmt:msA.160r	no
urn:cite:hmt:msA.160r	19	smooth	urn:cite:hmt:msA.159v	no
urn:cite:hmt:msA.160v	19	hairy	urn:cite:hmt:msA.159r	no
urn:cite:hmt:msA.161r	19	hairy	urn:cite:hmt:msA.158v	no
urn:cite:hmt:msA.161v	19	smooth	urn:cite:hmt:msA.158r	no
urn:cite:hmt:msA.162r	19	smooth	urn:cite:hmt:msA.157v	no
urn:cite:hmt:msA.162v	19	hairy	urn:cite:hmt:msA.157r	no
urn:cite:hmt:msA.163r	19	hairy	urn:cite:hmt:msA.156v	no
urn:cite:hmt:msA.163v	19	smooth	urn:cite:hmt:msA.156r	no
urn:cite:hmt:msA.164r	20	smooth	urn:cite:hmt:msA.171v	no
urn:cite:hmt:msA.164v	20	hairy	urn:cite:hmt:msA.171r	no
urn:cite:hmt:msA.165r	20	hairy	urn:cite:hmt:msA.170v	no
urn:cite:hmt:msA.165v	20	smooth	urn:cite:hmt:msA.170r	no
urn:cite:hmt:msA.166r	20	smooth	urn:cite:hmt:msA.169v	no
urn:cite:hmt:msA.166v	20	hairy	urn:cite:hmt:msA.169r	no
urn:cite:hmt:msA.167r	20	hairy	urn:cite:hmt:msA.168v	no
urn:cite:hmt:msA.167v	20	smooth	urn:cite:hmt:msA.168r	no
urn:cite:hmt:msA.168r	20	smooth	urn:cite:hmt:msA.167v	no
urn:cite:hmt:msA.168v	20	hairy	urn:cite:hmt:msA.167r	no
urn:cite:hmt:msA.169r	20	hairy	urn:cite:hmt:msA.166v	no
urn:cite:hmt:msA.169v	20	smooth	urn:cite:hmt:msA.166r	no
urn:cite:hmt:msA.170r	20	smooth	urn:cite:hmt:msA.165v	no
urn:cite:hmt:msA.170v	20	hairy	urn:cite:hmt:msA.165r	no
urn:cite:hmt:msA.171r	20	hairy	urn:cite:hmt:msA.164v	no
urn:cite:hmt:msA.171v	20	smooth	urn:cite:hmt:msA.164r	no
urn:cite:hmt:msA.172r	21	smooth	urn:cite:hmt:msA.179v	no
urn:cite:hmt:msA.172v	21	hairy	urn:cite:hmt:msA.179r	no
urn:cite:hmt:msA.173r	21	hairy	urn:cite:hmt:msA.178v	no
urn:cite:hmt:msA.173v	21	smooth	urn:cite:hmt:msA.178r	no
urn:cite:hmt:msA.174r	21	smooth	urn:cite:hmt:msA.177v	no
urn:cite:hmt:msA.174v	21	hairy	urn:cite:hmt:msA.177r	no
urn:cite:hmt:msA.175r	21	hairy	urn:cite:hmt:msA.176v	no
urn:cite:hmt:msA.175v	21	smooth	urn:cite:hmt:msA.176r	no
urn:cite:hmt:msA.176r	21	smooth	urn:cite:hmt:msA.175v	no
urn:cite:hmt:msA.176v	21	hairy	urn:cite:hmt:msA.175r	no
urn:cite:hmt:msA.177r	21	hairy	urn:cite:hmt:msA.174v	no
urn:cite:hmt:msA.177v	21	smooth	urn:cite:hmt:msA.174r	no
urn:cite:hmt:msA.178r	21	smooth	urn:cite:hmt:msA.173v	no
urn:cite:hmt:msA.178v	21	hairy	urn:cite:hmt:msA.173r	no
urn:cite:hmt:msA.179r	21	hairy	urn:cite:hmt:msA.172v	no
urn:cite:hmt:msA.179v	21	smooth	urn:cite:hmt:msA.172r	no
urn:cite:hmt:msA.180r	22	smooth	urn:cite:hmt:msA.187v	no
urn:cite:hmt:msA.180v	22	hairy	urn:cite:hmt:msA.187r	no
urn:cite:hmt:msA.181r	22	hairy	urn:cite:hmt:msA.186v	no
urn:cite:hmt:msA.181v	22	smooth	urn:cite:hmt:msA.186r	no
urn:cite:hmt:msA.182r	22	smooth	urn:cite:hmt:msA.185v	no
urn:cite:hmt:msA.182v	22	hairy	urn:cite:hmt:msA.185r	no
urn:cite:hmt:msA.183r	22	hairy	urn:cite:hmt:msA.184v	no
